date,name,category,value
2020-04-07,茨城県,none,1
2020-04-07,神奈川県,none,2
2020-04-07,中国武漢市,none,1
2020-04-07,根室振興局管内,none,1
2020-04-07,石狩振興局管内,none,101
2020-04-07,日高振興局管内,none,2
2020-04-07,檜山振興局管内,none,3
2020-04-07,十勝総合振興局管内,none,1
2020-04-07,釧路総合振興局管内,none,12
2020-04-07,上川総合振興局管内,none,22
2020-04-07,後志総合振興局管内,none,6
2020-04-07,渡島総合振興局管内,none,7
2020-04-07,胆振総合振興局管内,none,7
2020-04-07,空知総合振興局管内,none,8
2020-04-07,オホーツク総合振興局管内,none,23
2020-04-08,大阪府,none,1
2020-04-08,茨城県,none,1
2020-04-08,神奈川県,none,2
2020-04-08,中国武漢市,none,1
2020-04-08,根室振興局管内,none,1
2020-04-08,留萌振興局管内,none,1
2020-04-08,石狩振興局管内,none,107
2020-04-08,日高振興局管内,none,2
2020-04-08,檜山振興局管内,none,3
2020-04-08,十勝総合振興局管内,none,1
2020-04-08,釧路総合振興局管内,none,12
2020-04-08,上川総合振興局管内,none,24
2020-04-08,後志総合振興局管内,none,6
2020-04-08,渡島総合振興局管内,none,7
2020-04-08,胆振総合振興局管内,none,7
2020-04-08,空知総合振興局管内,none,8
2020-04-08,オホーツク総合振興局管内,none,24
2020-04-09,大阪府,none,1
2020-04-09,東京都,none,1
2020-04-09,茨城県,none,1
2020-04-09,神奈川県,none,2
2020-04-09,中国武漢市,none,1
2020-04-09,根室振興局管内,none,1
2020-04-09,留萌振興局管内,none,1
2020-04-09,石狩振興局管内,none,122
2020-04-09,日高振興局管内,none,2
2020-04-09,檜山振興局管内,none,3
2020-04-09,十勝総合振興局管内,none,1
2020-04-09,釧路総合振興局管内,none,12
2020-04-09,上川総合振興局管内,none,25
2020-04-09,後志総合振興局管内,none,6
2020-04-09,渡島総合振興局管内,none,7
2020-04-09,胆振総合振興局管内,none,7
2020-04-09,空知総合振興局管内,none,8
2020-04-09,オホーツク総合振興局管内,none,25
2020-04-10,大阪府,none,1
2020-04-10,東京都,none,1
2020-04-10,茨城県,none,1
2020-04-10,神奈川県,none,2
2020-04-10,中国武漢市,none,1
2020-04-10,根室振興局管内,none,1
2020-04-10,石狩振興局管内,none,132
2020-04-10,日高振興局管内,none,2
2020-04-10,檜山振興局管内,none,3
2020-04-10,留萌振興局管内,none,3
2020-04-10,十勝総合振興局管内,none,1
2020-04-10,釧路総合振興局管内,none,12
2020-04-10,上川総合振興局管内,none,25
2020-04-10,後志総合振興局管内,none,6
2020-04-10,渡島総合振興局管内,none,7
2020-04-10,胆振総合振興局管内,none,7
2020-04-10,空知総合振興局管内,none,8
2020-04-10,オホーツク総合振興局管内,none,26
2020-04-11,大阪府,none,1
2020-04-11,東京都,none,1
2020-04-11,茨城県,none,1
2020-04-11,非公表,none,1
2020-04-11,神奈川県,none,2
2020-04-11,中国武漢市,none,1
2020-04-11,根室振興局管内,none,1
2020-04-11,石狩振興局管内,none,145
2020-04-11,日高振興局管内,none,2
2020-04-11,檜山振興局管内,none,3
2020-04-11,留萌振興局管内,none,3
2020-04-11,十勝総合振興局管内,none,1
2020-04-11,釧路総合振興局管内,none,12
2020-04-11,上川総合振興局管内,none,25
2020-04-11,後志総合振興局管内,none,6
2020-04-11,渡島総合振興局管内,none,7
2020-04-11,胆振総合振興局管内,none,7
2020-04-11,空知総合振興局管内,none,8
2020-04-11,オホーツク総合振興局管内,none,28
2020-04-12,大阪府,none,1
2020-04-12,東京都,none,1
2020-04-12,茨城県,none,1
2020-04-12,非公表,none,1
2020-04-12,神奈川県,none,2
2020-04-12,中国武漢市,none,1
2020-04-12,根室振興局管内,none,1
2020-04-12,石狩振興局管内,none,157
2020-04-12,日高振興局管内,none,2
2020-04-12,檜山振興局管内,none,3
2020-04-12,留萌振興局管内,none,3
2020-04-12,十勝総合振興局管内,none,1
2020-04-12,釧路総合振興局管内,none,12
2020-04-12,上川総合振興局管内,none,25
2020-04-12,後志総合振興局管内,none,6
2020-04-12,渡島総合振興局管内,none,7
2020-04-12,胆振総合振興局管内,none,7
2020-04-12,空知総合振興局管内,none,8
2020-04-12,オホーツク総合振興局管内,none,28
2020-04-13,大阪府,none,1
2020-04-13,東京都,none,1
2020-04-13,茨城県,none,1
2020-04-13,非公表,none,1
2020-04-13,神奈川県,none,2
2020-04-13,中国武漢市,none,1
2020-04-13,根室振興局管内,none,1
2020-04-13,石狩振興局管内,none,162
2020-04-13,日高振興局管内,none,2
2020-04-13,檜山振興局管内,none,3
2020-04-13,留萌振興局管内,none,3
2020-04-13,十勝総合振興局管内,none,1
2020-04-13,釧路総合振興局管内,none,12
2020-04-13,上川総合振興局管内,none,25
2020-04-13,後志総合振興局管内,none,6
2020-04-13,渡島総合振興局管内,none,7
2020-04-13,胆振総合振興局管内,none,7
2020-04-13,空知総合振興局管内,none,8
2020-04-13,オホーツク総合振興局管内,none,28
2020-04-14,大阪府,none,1
2020-04-14,茨城県,none,1
2020-04-14,非公表,none,1
2020-04-14,東京都,none,2
2020-04-14,神奈川県,none,2
2020-04-14,中国武漢市,none,1
